*
*
*Day Ahead Generation forecasts For Wind And Solar Service (B1440) Data
*
*Time Series ID,Business Type,Power System Resource  Type,Settlement Date,Process Type,Settlement Period,Quantity,Document Type,Curve Type,Resolution,Active Flag,Document ID,Document RevNum
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,31,3448.375,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,30,4874,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,30,5133.342,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,30,3593.346,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,29,5120,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,29,5133.342,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,29,3593.346,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,28,5277,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,28,5324.107,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,28,3744.624,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,27,5269,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,27,5324.107,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,27,3744.624,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
